GEO_LEVEL, GEO_CODE2, GEO_CODE3, GEO, GEO_FORMAL, REGION_ABBR, REGION_CODE, REGION, REGION_FORMAL, REGION_ORIGINAL
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, MINN., MN, MINNESOTA, MINNESOTA, MINNESOTA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, MISS., MS, MISSISSIPPI, MISSISSIPPI, MISSISSIPPI
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, MO., MO, MISSOURI, MISSOURI, MISSOURI
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, MONT., MT, MONTANA, MONTANA, MONTANA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, NEBR., NE, NEBRASKA, NEBRASKA, NEBRASKA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, NEV., NV, NEVADA, NEVADA, NEVADA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, N.H., NH, NEW HAMPSHIRE, NEW HAMPSHIRE, NEW HAMPSHIRE
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, N.J., NJ, NEW JERSEY, NEW JERSEY, NEW JERSEY
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, N.M., NM, NEW MEXICO, NEW MEXICO, NEW MEXICO
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, N.Y., NY, NEW YORK, NEW YORK, NEW YORK
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, N.C., NC, NORTH CAROLINA, NORTH CAROLINA, NORTH CAROLINA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, N.D., ND, NORTH DAKOTA, NORTH DAKOTA, NORTH DAKOTA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, OHIO, OH, OHIO, OHIO, OHIO
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, OKLA., OK, OKLAHOMA, OKLAHOMA, OKLAHOMA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, ORE., OR, OREGON, OREGON, OREGON
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, PA., PA, PENNSYLVANIA, PENNSYLVANIA, PENNSYLVANIA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, R.I., RI, RHODE ISLAND, RHODE ISLAND, RHODE ISLAND
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, S.C., SC, SOUTH CAROLINA, SOUTH CAROLINA, SOUTH CAROLINA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, S.D., SD, SOUTH DAKOTA, SOUTH DAKOTA, SOUTH DAKOTA
