GEO_LEVEL, GEO_CODE2, GEO_CODE3, GEO, GEO_FORMAL, AREA, AREA_ORIGINAL, REGION_ABBR, REGION_CODE, REGION
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 5 (IL IN MI MN OH WI), REGION 5 (IL IN MI MN OH WI), ILL., IL, ILLINOIS
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 5 (IL IN MI MN OH WI), REGION 5 (IL IN MI MN OH WI), IND., IN, INDIANA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 5 (IL IN MI MN OH WI), REGION 5 (IL IN MI MN OH WI), MICH., MI, MICHIGAN
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 5 (IL IN MI MN OH WI), REGION 5 (IL IN MI MN OH WI), MINN., MN, MINNESOTA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 5 (IL IN MI MN OH WI), REGION 5 (IL IN MI MN OH WI), OHIO, OH, OHIO
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 5 (IL IN MI MN OH WI), REGION 5 (IL IN MI MN OH WI), WIS., WI, WISCONSIN
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, USA-IOWA_MINNESOTA, USA-IOWA_MINNESOTA, IOWA, IA, IOWA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, USA-IOWA_MINNESOTA, USA-IOWA_MINNESOTA, MINN., MN, MINNESOTA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 9 (AZ CA HI NV), REGION 9 (AZ CA HI NV), ARIZ., AZ, ARIZONA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 9 (AZ CA HI NV), REGION 9 (AZ CA HI NV), CALIF., CA, CALIFORNIA
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 9 (AZ CA HI NV), REGION 9 (AZ CA HI NV), HAWAII, HI, HAWAII
4, US, USA, UNITED STATES, UNITED STATES OF AMERICA, REGION 9 (AZ CA HI NV), REGION 9 (AZ CA HI NV), NEV., NV, NEVADA
4, GB, GBR, UNITED KINGDOM, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, LEEWARD-WINDWARD ISLANDS, LEEWARD-WINDWARD ISLANDS(*), , , FEDERAL COLONY OF THE LEEWARD ISLANDS
4, GB, GBR, UNITED KINGDOM, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, LEEWARD-WINDWARD ISLANDS, LEEWARD-WINDWARD ISLANDS(*), , , FEDERAL COLONY OF THE WINWARD ISLANDS
4, GB, GBR, UNITED KINGDOM, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, LEEWARD-WINDWARD ISLANDS, LEEWARD-WINDWARD ISLANDS, , , FEDERAL COLONY OF THE LEEWARD ISLANDS
4, GB, GBR, UNITED KINGDOM, UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, LEEWARD-WINDWARD ISLANDS, LEEWARD-WINDWARD ISLANDS, , , FEDERAL COLONY OF THE WINWARD ISLANDS
