,keys,values,0,1,2,3
251,13:2:0:3,27724.22,13,2,0,3
252,18:14:0:9,3.52873,18,14,0,9
253,18:14:0:8,3.596913,18,14,0,8
254,18:14:0:5,4.150071,18,14,0,5
255,18:14:0:4,3.791909,18,14,0,4
256,18:14:0:7,3.698574,18,14,0,7
257,18:14:0:6,3.877932,18,14,0,6
258,18:14:0:1,3.345675,18,14,0,1
259,18:14:0:0,3.547318,18,14,0,0
260,18:14:0:3,3.942521,18,14,0,3
261,18:14:0:2,3.629574,18,14,0,2
262,10:16:0:11,-0.15862,10,16,0,11
263,14:16:0:6,0.2875691,14,16,0,6
264,26:6:0:0,82.203,26,6,0,0
265,26:6:0:1,83.007,26,6,0,1
266,26:6:0:2,80.584,26,6,0,2
267,26:6:0:3,78.949,26,6,0,3
268,26:6:0:4,78.408,26,6,0,4
269,26:6:0:5,78.458,26,6,0,5
270,26:6:0:6,72.295,26,6,0,6
271,26:6:0:7,72.372,26,6,0,7
272,26:6:0:8,71.848,26,6,0,8
273,26:6:0:9,73.082,26,6,0,9
274,27:3:0:0,59296.5,27,3,0,0
275,29:6:0:9,4112.052,29,6,0,9
276,29:6:0:8,4089.95,29,6,0,8
277,27:3:0:1,60213.5,27,3,0,1
278,29:6:0:3,3941.524,29,6,0,3
279,29:6:0:2,3880.894,29,6,0,2
280,29:6:0:1,3891.494,29,6,0,1
281,29:6:0:0,3899.589,29,6,0,0
282,29:6:0:7,4021.726,29,6,0,7
283,27:3:0:2,61126.5,27,3,0,2
284,29:6:0:5,4015.0,29,6,0,5
285,29:6:0:4,3957.795,29,6,0,4
286,27:3:0:3,62023.0,27,3,0,3
287,27:3:0:4,62914.0,27,3,0,4
288,27:3:0:5,63808.0,27,3,0,5
289,27:11:0:6,13.4119,27,11,0,6
290,27:11:0:7,12.0753,27,11,0,7
291,27:11:0:4,15.6721,27,11,0,4
292,27:11:0:5,14.36162,27,11,0,5
293,27:11:0:2,16.37035,27,11,0,2
294,27:3:0:6,64729.0,27,3,0,6
295,27:11:0:0,17.03623,27,11,0,0
296,27:11:0:1,16.69688,27,11,0,1
297,27:3:0:7,65603.0,27,3,0,7
298,27:11:0:8,11.67761,27,11,0,8
299,27:11:0:9,12.02689,27,11,0,9
300,11:16:0:6,1.370555,11,16,0,6
301,7:8:0:2,196.449,7,8,0,2
302,26:1:0:13,3890.831,26,1,0,13
303,35:16:0:8,1.304427,35,16,0,8
304,11:16:0:7,0.8787808,11,16,0,7
305,26:1:0:12,3847.93,26,1,0,12
306,35:16:0:9,3.427431,35,16,0,9
307,7:10:0:16,0.0,7,10,0,16
308,7:10:0:17,0.0,7,10,0,17
309,7:10:0:14,0.0,7,10,0,14
310,7:10:0:15,0.0,7,10,0,15
311,7:10:0:12,0.0,7,10,0,12
312,7:10:0:13,0.0,7,10,0,13
313,7:10:0:10,94.647,7,10,0,10
314,7:10:0:11,0.0,7,10,0,11
315,26:1:0:17,4051.472,26,1,0,17
316,7:10:0:18,0.0,7,10,0,18
317,7:10:0:19,0.0,7,10,0,19
318,29:4:0:9,294349.8,29,4,0,9
319,5:15:0:13,5.327834,5,15,0,13
320,21:15:0:18,-0.5192782,21,15,0,18
321,21:15:0:19,-0.4157194,21,15,0,19
322,30:15:0:18,2.327482,30,15,0,18
323,26:1:0:15,3973.974,26,1,0,15
324,5:15:0:12,4.229019,5,15,0,12
325,21:15:0:12,-0.5246521,21,15,0,12
326,21:15:0:13,-0.3934323,21,15,0,13
327,21:15:0:10,-0.3406218,21,15,0,10
328,21:15:0:11,-0.9438662,21,15,0,11
329,21:15:0:16,-0.1038044,21,15,0,16
330,5:15:0:11,1.832537,5,15,0,11
331,21:15:0:14,-0.02621129,21,15,0,14
332,21:15:0:15,-0.05215328,21,15,0,15
333,5:15:0:10,1.21581,5,15,0,10
334,7:8:0:0,197.991,7,8,0,0
335,5:15:0:16,4.06268,5,15,0,16
336,14:4:0:11,127925.0,14,4,0,11
337,14:4:0:10,127781.0,14,4,0,10
338,14:4:0:13,128069.0,14,4,0,13
339,14:4:0:12,128026.0,14,4,0,12
340,14:4:0:15,128020.0,14,4,0,15
341,5:15:0:15,4.039647,5,15,0,15
342,14:4:0:17,127445.0,14,4,0,17
343,14:4:0:16,127662.0,14,4,0,16
344,5:15:0:14,4.03723,5,15,0,14
345,32:16:0:9,1.783339,32,16,0,9
346,32:16:0:8,1.821918,32,16,0,8
347,32:16:0:7,2.034477,32,16,0,7
348,32:16:0:6,2.381861,32,16,0,6
349,32:16:0:5,2.675787,32,16,0,5
350,32:16:0:4,2.589311,32,16,0,4
351,32:16:0:3,2.432706,32,16,0,3
352,32:16:0:2,2.529419,32,16,0,2
353,32:16:0:1,2.52845,32,16,0,1
354,32:16:0:0,2.696646,32,16,0,0
355,1:0:0:16,8388.534,1,0,0,16
356,1:0:0:17,8426.311,1,0,0,17
357,1:0:0:14,8341.483,1,0,0,14
358,1:0:0:15,8361.069,1,0,0,15
359,1:0:0:12,8295.189,1,0,0,12
360,1:0:0:13,8321.541,1,0,0,13
361,1:0:0:10,8225.278,1,0,0,10
362,12:8:0:18,38.9,12,8,0,18
363,12:8:0:17,43.2,12,8,0,17
364,12:8:0:16,45.7,12,8,0,16
365,12:8:0:15,47.1,12,8,0,15
366,12:8:0:14,47.6,12,8,0,14
367,12:8:0:13,47.1,12,8,0,13
368,12:8:0:12,43.3,12,8,0,12
369,12:8:0:11,37.4,12,8,0,11
370,12:8:0:10,34.2,12,8,0,10
371,22:12:0:14,9.367903,22,12,0,14
372,22:12:0:15,9.552634,22,12,0,15
373,22:12:0:16,9.187781,22,12,0,16
374,22:12:0:17,8.559608,22,12,0,17
375,22:12:0:10,10.37749,22,12,0,10
376,22:12:0:11,9.978618,22,12,0,11
377,22:12:0:12,9.674665,22,12,0,12
378,22:12:0:13,9.945065,22,12,0,13
379,20:16:0:1,0.5128954,20,16,0,1
380,22:12:0:18,7.937267,22,12,0,18
381,2:12:0:18,11.23205,2,12,0,18
382,2:12:0:15,11.8398,2,12,0,15
383,2:12:0:14,11.79059,2,12,0,14
384,2:12:0:17,11.50684,2,12,0,17
385,2:12:0:16,11.64989,2,12,0,16
386,2:12:0:11,11.50763,2,12,0,11
387,2:12:0:10,11.26122,2,12,0,10
388,2:12:0:13,11.95605,2,12,0,13
389,2:12:0:12,11.3557,2,12,0,12
390,8:9:0:12,44.0,8,9,0,12
391,8:9:0:13,-55.724,8,9,0,13
392,8:9:0:10,79.0,8,9,0,10
393,8:9:0:11,23.0,8,9,0,11
394,8:9:0:16,279.33,8,9,0,16
395,8:9:0:17,388.462,8,9,0,17
396,8:9:0:14,-12.713,8,9,0,14
397,8:9:0:15,127.868,8,9,0,15
398,21:9:0:4,-14.0,21,9,0,4
399,21:9:0:5,-20.0,21,9,0,5
400,8:9:0:18,441.275,8,9,0,18
401,21:9:0:7,-18.0,21,9,0,7
402,21:9:0:0,-18.0,21,9,0,0
403,21:9:0:1,-13.0,21,9,0,1
404,21:9:0:2,-12.0,21,9,0,2
405,21:9:0:3,-13.0,21,9,0,3
406,7:8:0:8,209.125,7,8,0,8
407,27:16:0:1,1.531227,27,16,0,1
408,27:16:0:0,1.561942,27,16,0,0
409,27:16:0:3,1.432237,27,16,0,3
410,7:8:0:9,258.387,7,8,0,9
411,27:16:0:5,1.427863,27,16,0,5
412,27:16:0:4,1.44083,27,16,0,4
413,27:16:0:7,1.28314,27,16,0,7
414,27:16:0:6,1.396603,27,16,0,6
415,27:16:0:9,1.203968,27,16,0,9
416,27:16:0:8,1.200023,27,16,0,8
417,14:15:0:12,-0.3514819,14,15,0,12
418,14:15:0:13,-0.9681715,14,15,0,13
419,14:15:0:10,0.007826288,14,15,0,10
420,14:15:0:11,0.03127131,14,15,0,11
421,14:15:0:16,-0.6184897,14,15,0,16
422,14:15:0:14,0.0,14,15,0,14
423,14:15:0:15,-0.6170011,14,15,0,15
424,13:1:0:13,30239.25,13,1,0,13
425,13:1:0:12,29992.15,13,1,0,12
426,13:1:0:11,29841.72,13,1,0,11
427,13:1:0:10,29707.58,13,1,0,10
428,13:1:0:17,30860.19,13,1,0,17
429,13:1:0:16,30745.72,13,1,0,16
430,13:1:0:15,30609.2,13,1,0,15
431,13:1:0:14,30453.74,13,1,0,14
432,22:11:0:18,-5.737783,22,11,0,18
433,13:1:0:19,31094.96,13,1,0,19
434,13:1:0:18,31000.83,13,1,0,18
435,27:3:0:12,69730.0,27,3,0,12
436,27:3:0:13,70586.0,27,3,0,13
437,27:3:0:10,68010.0,27,3,0,10
438,27:3:0:11,68861.0,27,3,0,11
439,27:3:0:16,73723.0,27,3,0,16
440,27:3:0:17,74724.0,27,3,0,17
441,27:3:0:14,71517.0,27,3,0,14
442,27:3:0:15,72561.0,27,3,0,15
443,27:3:0:18,75627.0,27,3,0,18
444,27:3:0:19,76482.0,27,3,0,19
445,14:3:0:6,127316.0,14,3,0,6
446,14:3:0:7,127486.0,14,3,0,7
447,14:3:0:4,125260.0,14,3,0,4
448,4:2:0:7,4964.598,4,2,0,7
449,4:2:0:6,4978.951,4,2,0,6
450,4:2:0:5,4999.326,4,2,0,5
451,4:2:0:4,5002.823,4,2,0,4
452,4:2:0:3,5007.48,4,2,0,3
453,4:2:0:2,5010.531,4,2,0,2
454,4:2:0:1,5014.667,4,2,0,1
455,4:2:0:0,5020.163,4,2,0,0
456,14:3:0:2,124640.0,14,3,0,2
457,4:2:0:9,4971.73,4,2,0,9
458,4:2:0:8,4968.189,4,2,0,8
459,14:3:0:0,124170.0,14,3,0,0
460,14:3:0:1,124410.0,14,3,0,1
461,17:12:0:14,20.10094,17,12,0,14
462,17:12:0:15,19.72152,17,12,0,15
463,17:12:0:16,19.459,17,12,0,16
464,17:12:0:17,19.21201,17,12,0,17
465,17:12:0:10,21.48426,17,12,0,10
466,17:12:0:11,21.11732,17,12,0,11
467,17:12:0:12,20.77474,17,12,0,12
468,17:12:0:13,20.43106,17,12,0,13
469,17:12:0:18,18.97727,17,12,0,18
470,17:12:0:19,18.75218,17,12,0,19
471,14:3:0:8,127694.0,14,3,0,8
472,14:3:0:9,127787.0,14,3,0,9
473,3:11:0:11,10.53569,3,11,0,11
474,4:15:0:4,0.8531816,4,15,0,4
475,4:15:0:5,0.6365649,4,15,0,5
476,4:15:0:6,-0.8353449,4,15,0,6
477,4:15:0:7,1.204329,4,15,0,7
478,4:15:0:0,0.9682149,4,15,0,0
479,4:15:0:1,0.9819451,4,15,0,1
480,4:15:0:2,1.17186,4,15,0,2
481,4:15:0:3,0.9216686,4,15,0,3
482,25:3:0:16,9416.0,25,3,0,16
483,4:15:0:8,2.52651,4,15,0,8
484,4:15:0:9,1.824097,4,15,0,9
485,13:2:0:18,29223.9,13,2,0,18
486,13:2:0:19,29352.95,13,2,0,19
487,13:2:0:16,28913.96,13,2,0,16
488,13:2:0:17,29037.84,13,2,0,17
489,13:2:0:14,28686.36,13,2,0,14
490,13:2:0:15,28810.45,13,2,0,15
491,13:2:0:12,28279.75,13,2,0,12
492,13:2:0:13,28500.42,13,2,0,13
493,13:2:0:10,28008.36,13,2,0,10
494,13:2:0:11,28142.46,13,2,0,11
495,31:4:0:10,1350.7,31,4,0,10
496,2:0:0:17,11128.25,2,0,0,17
497,2:0:0:16,11047.74,2,0,0,16
498,2:0:0:15,10920.27,2,0,0,15
499,2:0:0:14,10796.49,2,0,0,14
500,2:0:0:13,10709.97,2,0,0,13
501,2:0:0:12,10625.7,2,0,0,12
502,2:0:0:11,10547.96,2,0,0,11
503,2:0:0:10,10478.62,2,0,0,10
504,31:4:0:11,1342.92,31,4,0,11
505,2:0:0:19,11227.28,2,0,0,19
506,2:0:0:18,11178.44,2,0,0,18
507,23:12:0:11,9.998311,23,12,0,11
508,23:12:0:10,10.10395,23,12,0,10
509,23:12:0:13,10.60945,23,12,0,13
510,23:12:0:12,10.08319,23,12,0,12
511,23:12:0:15,11.12503,23,12,0,15
512,23:12:0:14,11.29759,23,12,0,14
513,23:12:0:17,10.26985,23,12,0,17
514,23:12:0:16,11.22053,23,12,0,16
515,23:12:0:19,10.15622,23,12,0,19
516,23:12:0:18,10.12729,23,12,0,18
517,36:1:0:8,77368.0,36,1,0,8
518,21:16:0:13,0.0,21,16,0,13
519,21:16:0:12,-0.04195951,21,16,0,12
520,24:4:0:18,46512.2,24,4,0,18
521,21:16:0:10,-0.04976428,21,16,0,10
522,21:16:0:17,0.0207652,21,16,0,17
523,21:16:0:16,0.02336631,21,16,0,16
524,21:16:0:15,0.9540534,21,16,0,15
525,21:16:0:14,0.09707209,21,16,0,14
526,24:4:0:12,45668.94,24,4,0,12
527,24:4:0:13,46239.27,24,4,0,13
528,24:4:0:10,44009.97,24,4,0,10
529,24:4:0:11,44784.66,24,4,0,11
530,24:4:0:16,46818.21,24,4,0,16
531,24:4:0:17,46727.89,24,4,0,17
532,24:4:0:14,46486.62,24,4,0,14
533,24:4:0:15,46667.18,24,4,0,15
534,22:7:0:15,106.0,22,7,0,15
535,22:7:0:14,104.0,22,7,0,14
536,22:7:0:17,108.0,22,7,0,17
537,22:7:0:16,103.0,22,7,0,16
538,22:7:0:11,102.0,22,7,0,11
539,22:7:0:10,107.0,22,7,0,10
540,22:7:0:13,104.0,22,7,0,13
541,22:7:0:12,104.0,22,7,0,12
542,30:1:0:9,8078.669,30,1,0,9
543,22:7:0:18,107.0,22,7,0,18
544,30:3:0:18,17538.0,30,3,0,18
545,30:3:0:19,17725.0,30,3,0,19
546,30:3:0:12,16419.0,30,3,0,12
547,30:3:0:13,16596.0,30,3,0,13
548,30:3:0:10,16083.0,30,3,0,10
549,30:3:0:11,16249.0,30,3,0,11
550,30:3:0:16,17161.0,30,3,0,16
551,30:3:0:17,17350.0,30,3,0,17
552,30:3:0:14,16782.0,30,3,0,14
553,30:3:0:15,16971.0,30,3,0,15
554,29:6:0:16,4008.0,29,6,0,16
555,30:10:0:14,-3.0,30,10,0,14
556,7:16:0:7,0.702188,7,16,0,7
557,36:1:0:4,78336.0,36,1,0,4
558,3:11:0:13,12.21475,3,11,0,13
559,29:6:0:15,4175.057,29,6,0,15
560,31:4:0:17,1320.174,31,4,0,17
561,36:1:0:5,78078.0,36,1,0,5
562,18:1:0:18,8483.57,18,1,0,18
563,7:10:0:8,94.455,7,10,0,8
564,7:10:0:9,94.456,7,10,0,9
565,7:10:0:4,94.455,7,10,0,4
566,7:10:0:5,94.456,7,10,0,5
567,7:10:0:6,94.455,7,10,0,6
568,7:10:0:7,94.456,7,10,0,7
569,7:10:0:0,-54.567,7,10,0,0
570,7:10:0:1,-53.504,7,10,0,1
571,7:10:0:2,-53.505,7,10,0,2
572,7:10:0:3,-51.424,7,10,0,3
573,20:4:0:4,4478.0,20,4,0,4
574,20:4:0:5,4503.0,20,4,0,5
575,20:4:0:6,4523.0,20,4,0,6
576,20:4:0:7,4552.0,20,4,0,7
577,20:4:0:0,4370.0,20,4,0,0
578,20:4:0:1,4392.0,20,4,0,1
579,20:4:0:2,4417.0,20,4,0,2
580,20:4:0:3,4445.0,20,4,0,3
581,20:4:0:8,4577.0,20,4,0,8
582,20:4:0:9,4606.0,20,4,0,9
583,7:2:0:9,29416.94,7,2,0,9
584,6:15:0:10,1.715429,6,15,0,10
585,9:14:0:10,0.2701729,9,14,0,10
586,9:14:0:11,0.6278872,9,14,0,11
587,9:14:0:12,0.1786831,9,14,0,12
588,9:14:0:13,0.8899173,9,14,0,13
589,19:14:0:2,7.9577,19,14,0,2
590,19:14:0:3,7.625786,19,14,0,3
591,19:14:0:0,8.130634,19,14,0,0
