"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"World Total","7","0401400500","MC,NC/S,6-10%,QT","2017-2017","LITER","14,024","5,661.0","6,290","2,141.0","222,501","71,072.0","157,345","61,270.0","233,149","87,233.0","300,328","87,946.0","69,832","26,947.0","82,539","30,489.0","2,500","1,183.0","126,590","30,883.0","2,500","1.0","218,718","84,122.0","1,436,316","488,948.0","8,649","8,412,100","US","R00","0401400500",""
"World Total","7","0401400500","MC,NC/S,6-10%,QT","2018-2018","LITER","11,111","3,928.0","50,008","21,210.0","19,640","8,054.0","112,760","22,763.0","310,400","101,906.0","124,856","48,153.0","132,889","50,242.0","119,117","44,108.0","10,000","4,400.0","44,745","17,064.0","10,000","4,400.0","35,777","8,511.0","981,303","334,739.0","258","93","US","R00","0401400500",""
"World Total","8","0401507500","M&C,NC/S,>45%,OT","2016-2016","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4,764","0.8","0","0.0","0","0.0","0","0.0","0","0.0","4,764","0.8","","","US","R00","0401507500",""
"World Total","8","0401507500","M&C,NC/S,>45%,OT","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3,235","0.4","0","0.0","9,462","0.6","32,810","199.6","26,767","139.3","72,274","340.0","-18","-30","US","R00","0401507500",""
"World Total","9","0401100000","MC,N CN/SW,NOV 1","2015-2015","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,248","1,033.0","0","0.0","0","0.0","39,805","19,820.0","0","0.0","0","0.0","6,264","2,698.0","48,317","23,551.0","","","US","R00","0401100000",""
"World Total","9","0401100000","MC,N CN/SW,NOV 1","2016-2016","LITER","0","0.0","0","0.0","0","0.0","18,180","39,820.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","9,167","20,808.0","0","0.0","0","0.0","27,347","60,628.0","","","US","R00","0401100000",""
"World Total","9","0401100000","MC,N CN/SW,NOV 1","2017-2017","LITER","0","0.0","70,295","32,366.0","71,555","22,741.0","65,519","33,240.0","0","0.0","6,219","12,468.0","0","0.0","0","0.0","9,588","20,400.0","2,820","6,000.0","0","0.0","9,588","20,400.0","235,584","147,615.0","","","US","R00","0401100000",""
"World Total","9","0401100000","MC,N CN/SW,NOV 1","2018-2018","LITER","14,647","21,223.0","4,794","850.0","8,973","1,499.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","11,730","20,400.0","0","0.0","23,023","22,100.0","63,167","66,072.0","","","US","R00","0401100000",""
"World Total","10","0401505000","M&C,NC/S,>45%,QT","2015-2015","MT","59,942","5.0","104,649","9.5","90,684","7.3","31,243","2.2","52,284","4.0","96,394","7.8","172,231","14.4","15,196","0.9","18,700","1.0","34,035","2.4","72,578","5.2","118,306","10.0","866,242","69.7","63","94","US","R00","0401505000",""
"World Total","10","0401505000","M&C,NC/S,>45%,QT","2016-2016","MT","80,859","6.4","214,219","18.7","66,015","5.4","42,534","3.4","134,221","11.6","75,292","6.1","45,955","155.0","6,241","0.3","61,192","197.8","75,778","227.8","71,504","290.3","146,533","562.3","1,020,343","1,484.9","105","94","US","R00","0401505000",""
"World Total","10","0401505000","M&C,NC/S,>45%,QT","2017-2017","MT","45,448","262.4","46,097","12.8","61,793","158.2","75,021","188.7","141,818","736.6","89,358","284.5","86,510","330.1","52,727","181.1","43,595","68.2","66,048","81.7","116,148","465.6","99,903","491.3","924,466","3,261.1","-14","6","US","R00","0401505000",""
"World Total","10","0401505000","M&C,NC/S,>45%,QT","2018-2018","MT","77,328","257.8","44,753","153.9","109,585","638.3","161,133","650.3","66,689","5.7","71,377","6.4","120,928","10.7","257,532","22.8","38,436","3.3","78,275","7.5","55,604","5.2","16,773","1.5","1,098,413","1,763.3","-70","-71","US","R00","0401505000",""
"World Total","11","0401400200","M&C, NC/S, 6-10%","2015-2015","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","12,184","20,160.0","0","0.0","10,875","20,160.0","23,059","40,320.0","","","US","R00","0401400200",""
"World Total","11","0401400200","M&C, NC/S, 6-10%","2016-2016","LITER","0","0.0","0","0.0","0","0.0","0","0.0","11,957","20,160.0","0","0.0","0","0.0","10,771","20,400.0","0","0.0","0","0.0","0","0.0","0","0.0","22,728","40,560.0","","","US","R00","0401400200",""
"Mexico","1","0401502500","MC,NCS,10-45%,OT","2015-2015","LITER","402,461","215,713.0","893,503","425,707.0","259,885","145,025.0","455,372","254,670.0","299,058","141,109.0","204,689","123,099.0","981,768","541,592.0","263,141","154,624.0","585,798","376,871.0","616,301","380,755.0","561,687","313,748.0","469,584","299,549.0","5,993,247","3,372,462.0","-16","-5","US","MX","0401502500",""
"Mexico","1","0401502500","MC,NCS,10-45%,OT","2016-2016","LITER","521,153","316,784.0","285,552","218,013.0","477,295","301,960.0","491,529","297,601.0","582,222","413,541.0","347,375","254,334.0","109,647","72,314.0","877,239","574,948.0","703,183","503,815.0","600,423","308,219.0","256,469","199,937.0","595,704","461,357.0","5,847,791","3,922,823.0","132","131","US","MX","0401502500",""
"Mexico","1","0401502500","MC,NCS,10-45%,OT","2017-2017","LITER","413,894","357,170.0","524,121","406,718.0","497,617","383,976.0","652,799","377,517.0","500,773","319,603.0","486,945","312,448.0","523,177","313,961.0","691,171","627,998.0","177,989","106,724.0","443,403","265,958.0","364,804","185,769.0","366,737","218,573.0","5,643,430","3,876,415.0","1","18","US","MX","0401502500",""
"Mexico","1","0401502500","MC,NCS,10-45%,OT","2018-2018","LITER","474,824","305,302.0","673,241","522,689.0","480,100","309,168.0","589,237","389,142.0","405,369","346,273.0","229,188","149,727.0","812,531","480,227.0","700,882","398,569.0","552,853","554,134.0","573,454","319,151.0","484,419","269,362.0","636,505","394,424.0","6,612,603","4,438,168.0","31","46","US","MX","0401502500",""
"Mexico","2","0401500200","M&C, NC/S,10-45%","2016-2016","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","85,376","230,821.0","96,189","260,055.0","96,189","260,055.0","0","0.0","0","0.0","0","0.0","0","0.0","277,754","750,931.0","","","US","MX","0401500200",""
"Mexico","2","0401500200","M&C, NC/S,10-45%","2017-2017","LITER","114,976","261,974.0","54,000","99,996.0","62,802","169,790.0","25,408","61,599.0","209,400","557,577.0","213,685","539,399.0","167,861","453,826.0","51,868","140,229.0","40,476","109,430.0","27,657","74,773.0","108,092","292,235.0","75,738","204,764.0","1,151,963","2,965,592.0","-30","-30","US","MX","0401500200",""
"Mexico","2","0401500200","M&C, NC/S,10-45%","2018-2018","LITER","178,511","482,618.0","265,915","718,920.0","127,350","344,299.0","0","0.0","170,242","460,264.0","303,443","820,381.0","71,796","184,354.0","135,404","366,075.0","170,584","461,186.0","142,258","418,091.0","165,812","448,284.0","196,431","531,066.0","1,927,746","5,235,538.0","18","18","US","MX","0401500200",""
"Mexico","3","0401402500","MC,NC/S,6-10%,OT","2015-2015","LITER","12,497","12,252.0","19,914","19,524.0","0","0.0","18,666","18,300.0","13,489","13,224.0","93,013","91,188.0","41,775","40,956.0","0","0.0","23,453","22,992.0","125,378","125,940.0","0","0.0","93,612","91,776.0","441,797","436,152.0","","","US","MX","0401402500",""
"Mexico","3","0401402500","MC,NC/S,6-10%,OT","2016-2016","LITER","56,036","54,936.0","0","0.0","84,848","83,184.0","0","0.0","6,193","6,072.0","72,963","69,688.0","30,355","29,760.0","158,190","154,128.0","41,127","40,320.0","76,244","74,748.0","83,233","81,580.0","44,090","43,224.0","653,279","637,640.0","-47","-47","US","MX","0401402500",""
"Mexico","3","0401402500","MC,NC/S,6-10%,OT","2017-2017","LITER","0","0.0","17,074","14,716.0","121,681","116,712.0","23,489","23,028.0","47,981","47,040.0","54,603","53,532.0","34,198","33,528.0","0","0.0","54,835","53,760.0","145,153","135,360.0","39,169","38,400.0","39,801","37,440.0","577,984","553,516.0","2","-3","US","MX","0401402500",""
"Mexico","3","0401402500","MC,NC/S,6-10%,OT","2018-2018","LITER","128,746","121,181.0","0","0.0","99,474","102,720.0","59,502","61,440.0","33,120","34,560.0","102,548","113,280.0","44,064","43,200.0","55,815","54,720.0","17,626","17,280.0","0","0.0","27,418","26,880.0","32,314","31,680.0","600,627","606,941.0","18","18","US","MX","0401402500",""
"Mexico","4","0401204000","MC,N CN/S,1-6 OQ","2015-2015","LITER","4,211","4,128.0","11,640","11,412.0","0","0.0","10,942","10,728.0","10,954","14,226.0","34,837","34,152.0","11,767","11,554.0","0","0.0","7,833","7,680.0","43,575","44,824.0","0","0.0","38,617","41,210.0","174,376","179,914.0","","","US","MX","0401204000",""
"Mexico","4","0401204000","MC,N CN/S,1-6 OQ","2016-2016","LITER","13,049","12,792.0","0","0.0","24,813","24,324.0","0","0.0","8,593","8,424.0","10,453","10,248.0","2,938","2,880.0","10,710","10,500.0","17,075","16,740.0","25,460","29,635.0","18,605","22,915.0","12,853","12,600.0","144,549","151,058.0","-31","-45","US","MX","0401204000",""
"Mexico","4","0401204000","MC,N CN/S,1-6 OQ","2017-2017","LITER","0","0.0","20,563","25,771.0","15,667","15,360.0","14,688","19,075.0","20,564","20,160.0","7,834","7,680.0","12,729","12,480.0","0","0.0","14,689","14,645.0","46,312","43,200.0","33,293","37,938.0","27,648","32,815.0","213,987","229,124.0","-17","-14","US","MX","0401204000",""
"Mexico","4","0401204000","MC,N CN/S,1-6 OQ","2018-2018","LITER","48,489","50,730.0","0","0.0","35,021","39,971.0","40,628","47,663.0","3,283","3,840.0","33,101","37,964.0","8,814","8,640.0","25,460","29,324.0","21,543","26,731.0","33,088","42,971.0","54,449","69,466.0","20,564","20,160.0","324,440","377,460.0","-62","-71","US","MX","0401204000",""
"Mexico","5","0401100000","MC,N CN/SW,NOV 1","2015-2015","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,248","1,033.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,248","1,033.0","","","US","MX","0401100000",""
"Mexico","6","0401507500","M&C,NC/S,>45%,OT","2018-2018","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3,235","0.4","0","0.0","0","0.0","0","0.0","0","0.0","3,235","0.4","","","US","MX","0401507500",""
"Canada","1","0401202000","MC,N CN/S,1-6 NQ","2015-2015","LITER","248,934","261,465.0","210,682","223,479.0","229,616","264,514.0","221,209","258,596.0","206,986","248,058.0","199,628","247,518.0","205,670","252,094.0","208,527","244,792.0","198,399","224,580.0","177,296","202,609.0","246,853","291,746.0","261,339","293,544.0","2,615,139","3,012,995.0","6","1","US","CA","0401202000",""
"Canada","1","0401202000","MC,N CN/S,1-6 NQ","2016-2016","LITER","224,831","265,936.0","199,304","250,988.0","235,933","283,306.0","232,666","280,457.0","244,856","292,220.0","245,135","294,521.0","332,602","383,959.0","342,294","374,847.0","321,450","353,760.0","315,208","355,008.0","291,755","326,398.0","269,889","305,401.0","3,255,923","3,766,801.0","-7","-6","US","CA","0401202000",""
"Canada","1","0401202000","MC,N CN/S,1-6 NQ","2017-2017","LITER","263,577","305,390.0","239,255","285,956.0","289,186","339,718.0","377,893","461,327.0","769,760","1,005,201.0","583,611","721,093.0","657,612","811,564.0","735,606","870,805.0","666,833","777,835.0","713,562","846,243.0","524,261","603,498.0","381,009","409,444.0","6,202,165","7,438,074.0","-27","-32","US","CA","0401202000",""
"Canada","1","0401202000","MC,N CN/S,1-6 NQ","2018-2018","LITER","373,064","401,604.0","317,801","339,696.0","372,476","385,327.0","578,031","685,754.0","637,320","745,031.0","530,048","588,128.0","586,647","662,070.0","479,510","521,057.0","428,668","453,238.0","524,574","585,216.0","544,953","581,978.0","617,404","686,923.0","5,990,496","6,636,022.0","13","18","US","CA","0401202000",""
"Canada","2","0401400500","MC,NC/S,6-10%,QT","2016-2016","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","6,474","2,189.0","0","0.0","6,474","2,307.0","3,237","1,205.0","16,185","5,701.0","-50","-48","US","CA","0401400500",""
"Canada","2","0401400500","MC,NC/S,6-10%,QT","2017-2017","LITER","6,290","2,205.0","6,290","2,141.0","3,145","1,100.0","2,500","1,100.0","2,500","1,100.0","5,000","2.0","2,500","1,100.0","7,500","3,300.0","2,500","1,183.0","7,500","3,408.0","2,500","1.0","0","0.0","48,225","16,640.0","","","US","CA","0401400500",""
"Canada","2","0401400500","MC,NC/S,6-10%,QT","2018-2018","LITER","5,000","2,200.0","7,500","4,861.0","10,000","5,462.0","5,000","2,200.0","7,500","2,875.0","10,000","4,400.0","17,500","6,753.0","12,500","5,557.0","10,000","4,400.0","7,500","3,325.0","10,000","4,400.0","5,000","2,200.0","107,500","48,633.0","-50","-50","US","CA","0401400500",""
"Canada","3","0401402500","MC,NC/S,6-10%,OT","2016-2016","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","3,237","999.0","0","0.0","0","0.0","3,237","999.0","","","US","CA","0401402500",""
"Canada","3","0401402500","MC,NC/S,6-10%,OT","2018-2018","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","2,500","1.0","0","0.0","5,000","2,200.0","7,500","2,201.0","","","US","CA","0401402500",""
"Canada","4","0401507500","M&C,NC/S,>45%,OT","2016-2016","MT","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4,764","0.8","0","0.0","0","0.0","0","0.0","0","0.0","4,764","0.8","","","US","CA","0401507500",""
"New Zealand(*)","1","0401502500","MC,NCS,10-45%,OT","2017-2017","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","113,280","46,080.0","475,603","193,452.0","362,349","147,396.0","322,671","131,256.0","475,629","193,476.0","484,183","196,956.0","2,233,715","908,616.0","2","2","US","NZ","0401502500",""
"New Zealand(*)","1","0401502500","MC,NCS,10-45%,OT","2018-2018","LITER","161,424","65,664.0","549,408","223,488.0","589,027","239,604.0","549,408","223,488.0","427,278","173,808.0","226,560","92,160.0","48,144","19,564.0","47,967","19,512.0","268,869","107,448.0","106,549","41,580.0","459,463","179,256.0","494,000","192,780.0","3,928,097","1,578,352.0","8","8","US","NZ","0401502500",""
"New Zealand(*)","2","0401500500","MC,NCS,10-45%,QT","2018-2018","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","100,979","42,264.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","100,979","42,264.0","","","US","NZ","0401500500",""
"Ireland","1","0401204000","MC,N CN/S,1-6 OQ","2017-2017","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","19,883","25,822.0","19,883","25,822.0","","","US","EI","0401204000",""
"Ireland","1","0401204000","MC,N CN/S,1-6 OQ","2018-2018","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","92,840","120,572.0","389,862","506,317.0","482,702","626,889.0","320","320","US","EI","0401204000",""
"Ireland","2","0401500500","MC,NCS,10-45%,QT","2017-2017","LITER","0","0.0","0","0.0","0","0.0","0","0.0","24,972","7,290.0","24,417","7,128.0","26,637","7,775.0","27,022","7,775.0","26,637","7,775.0","0","0.0","0","0.0","44,761","13,417.0","174,446","51,160.0","","","US","EI","0401500500",""
"Ireland","2","0401500500","MC,NCS,10-45%,QT","2018-2018","LITER","0","0.0","43,753","13,115.0","0","0.0","21,106","9,706.0","0","0.0","97,312","29,169.0","0","0.0","24,034","11,635.0","72,841","23,612.0","0","0.0","38,210","11,454.0","39,121","15,666.0","336,377","114,357.0","2","37","US","EI","0401500500",""
"Ireland","3","0401502500","MC,NCS,10-45%,OT","2018-2018","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","25,026","9,347.0","25,026","9,347.0","","","US","EI","0401502500",""
"Ireland","4","0401402500","MC,NC/S,6-10%,OT","2017-2017","LITER","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","12,571","5,184.0","12,571","5,184.0","","","US","EI","0401402500",""
"France(*)","1","0401502500","MC,NCS,10-45%,OT","2015-2015","LITER","211,865","89,424.0","236,961","110,160.0","248,053","114,624.0","244,157","115,476.0","302,578","138,672.0","125,082","56,448.0","552,369","248,976.0","136,734","63,288.0","509,790","225,968.0","464,070","208,656.0","333,513","154,644.0","568,031","348,274.0","3,933,203","1,874,610.0","70","125","US","FR","0401502500",""
