"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"New Zealand(*)","3","3501101000","MLK PROT CNCNTRT","2017-2017","MT","1,381,621","202.0","926,750","88.9","774,259","328.6","1,521,093","522.3","312,442","41.0","1,478,801","257.0","2,339,377","322.9","886,625","293.5","1,094,559","104.6","836,775","260.5","2,477,274","480.9","2,763,930","610.2","16,793,506","3,512.4","12","27","US","NZ","3501101000",""
"New Zealand(*)","3","3501101000","MLK PROT CNCNTRT","2018-2018","MT","2,061,175","309.0","1,666,760","293.7","803,798","142.8","97,794","41.8","198,394","52.0","117,044","30.8","842,380","309.2","158,754","42.0","66,552","17.5","849,360","223.6","64,365","12.8","189,367","106.8","7,115,743","1,582.1","194","735","US","NZ","3501101000",""
"Argentina","1","3501105000","CASEN,XMPC,NESOI","2015-2015","MT","1,470,240","171.0","3,518,512","456.0","2,161,379","304.0","804,236","114.0","0","0.0","0","0.0","2,010,596","304.0","0","0.0","653,448","114.0","2,178,160","380.0","0","0.0","555,009","95.0","13,351,580","1,938.0","","","US","AR","3501105000",""
"Argentina","1","3501105000","CASEN,XMPC,NESOI","2016-2016","MT","1,644,089","285.0","0","0.0","1,047,186","190.0","1,884,935","342.0","314,156","57.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","4,890,366","874.0","","","US","AR","3501105000",""
"Argentina","1","3501105000","CASEN,XMPC,NESOI","2017-2017","MT","1,298,518","190.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","632,725","95.0","2,530,900","380.0","3,290,170","491.7","3,366,243","511.9","4,243,282","629.4","15,361,838","2,298.0","26","23","US","AR","3501105000",""
"Argentina","1","3501105000","CASEN,XMPC,NESOI","2018-2018","MT","5,227,110","795.2","746,730","114.0","0","0.0","138,860","20.0","559,550","95.0","0","0.0","1,088,700","190.0","4,137,060","722.0","544,350","95.0","117,477","19.0","2,814,280","473.2","6,191,417","1,045.0","21,565,534","3,568.4","120","121","US","AR","3501105000",""
"Argentina","2","3501906000","CSNT/OC,NT-CA/GL","2015-2015","MT","0","0.0","0","0.0","0","0.0","0","0.0","2,153,648","304.0","3,964,166","570.0","2,036,700","304.0","0","0.0","0","0.0","418,836","76.0","1,675,344","304.0","1,675,344","304.0","11,924,038","1,862.0","","0","US","AR","3501906000",""
"Ireland","1","3501105000","CASEN,XMPC,NESOI","2015-2015","MT","3,193,162","334.3","6,790,564","685.3","2,878,674","308.5","6,196,562","687.0","7,746,942","911.4","9,135,654","1,028.5","12,746,891","1,449.6","9,440,523","1,151.0","7,941,095","853.8","6,819,087","715.1","5,763,332","674.6","11,623,231","1,271.0","90,275,717","10,070.1","102","88","US","EI","3501105000",""
"Ireland","1","3501105000","CASEN,XMPC,NESOI","2016-2016","MT","6,800,531","805.6","1,496,979","198.0","3,679,137","571.0","4,320,875","643.6","5,572,584","624.2","8,241,754","900.0","7,316,397","897.3","6,449,622","828.0","12,455,137","1,512.6","8,878,406","1,317.2","4,214,368","568.9","4,437,386","648.3","73,863,176","9,514.9","5","14","US","EI","3501105000",""
"Ireland","1","3501105000","CASEN,XMPC,NESOI","2017-2017","MT","1,727,045","223.8","1,980,078","267.4","779,982","131.6","1,511,306","179.7","2,568,104","339.0","8,266,338","988.9","7,767,899","881.0","11,113,279","1,242.6","5,383,476","697.2","12,745,912","1,442.8","5,832,698","696.4","2,859,947","358.0","62,536,064","7,448.5","-51","-49","US","EI","3501105000",""
